"","AAPL","AMZN","CSPX.CL","GRUPOSURA.CL","ICOLCAP.CL","IUFS.CL","IUIT.CL","NU","PFGRUPSURA.CL","UBER","VOO"
"1",0.112871991708924,0,0,0.00328472738700179,0.883843280904074,0,0,0,0,0,0
"2",0.161981689998336,0,0,0.0263478689153488,0.786099846754731,0.0255705943315839,0,0,0,0,0
"3",0.174701709749439,0,0,0.0357146227121593,0.70621083087229,0.0833728366661122,0,0,0,0,0
"4",0.160853280190232,0,0.0226167975930596,0.0401857379484741,0.643163910130106,0.109292323114044,0,0,0,0,0.0238879510240849
"5",0.118051041111309,0,0.0371807205512054,0.0409231054185529,0.59099403940745,0.116839451363444,0,0,0,0,0.0960116421480395
"6",0.0756914349298697,0,0.0515821335398654,0.041690507490185,0.538089067021542,0.124225500881318,0,0,0.00164616488490492,0,0.167075191252315
"7",0.0345997909345224,0,0.0655180219429336,0.0425439464091918,0.483078329074072,0.131150125724887,0,0,0.00800791877820639,0,0.235101867136187
"8",0,0,0.0787431846810121,0.0434506168405975,0.428182987104316,0.137329663652158,0.00312251016942861,0,0.0145239333965287,0,0.294647104155959
"9",0,0,0.0884599793457106,0.044681308984908,0.373342933948707,0.139930721742451,0.0222477821535049,0,0.0219283765875338,0,0.309408897237185
"10",0,0,0.0981767740104091,0.0459120011292185,0.318502880793097,0.142531779832745,0.0413730541375811,0,0.0293328197785388,0,0.324170690318411
"11",0,0,0.107893568675108,0.047142693273529,0.263662827637487,0.145132837923038,0.0604983261216574,0,0.0367372629695438,0,0.338932483399637
"12",0,0,0.117610363339806,0.0483733854178394,0.208822774481877,0.147733896013331,0.0796235981057336,0,0.0441417061605488,0,0.353694276480863
"13",0,0,0.125843399296369,0.0498974419233349,0.167059929395814,0.149927948309953,0.094233506215168,0,0.0497071463398934,0.00678876825591555,0.356541860263552
"14",0,0,0.132434998310575,0.051746038461775,0.139764000197462,0.151671742527668,0.10384820517679,0,0.0532381536536409,0.0210877434931054,0.346209118178985
"15",0,0,0.13902659732478,0.0535946350002151,0.11246807099911,0.153415536745382,0.113462904138412,0,0.0567691609673884,0.0353867187302953,0.335876376094418
"16",0,0,0.145618196338986,0.0554432315386552,0.0851721418007574,0.155159330963097,0.123077603100034,0,0.0603001682811359,0.049685693967485,0.325543634009851
"17",0,0,0.152209795353191,0.0572918280770953,0.0578762126024049,0.156903125180811,0.132692302061656,0,0.0638311755948835,0.0639846692046749,0.315210891925284
"18",0,0,0.158746662054665,0.0591437613052562,0.0307623710450775,0.158691813282348,0.142296085225437,0.000438713544045816,0.0673393486627792,0.0780423766593336,0.304538868221059
"19",0,0,0.165013647049942,0.0610121475475499,0.00454639257418456,0.160701870395332,0.151846043253777,0.00304069689871765,0.0707349274527686,0.0909104073481165,0.292193867479612
"20",0,0,0.170327975497525,0.0611017566445909,0,0.15707661709404,0.164496180003698,0.00718370811147788,0.0687001915706475,0.109340080697909,0.261773490380111
"21",0,0,0.175442431613683,0.060818168983611,0,0.152269046163661,0.17779675048067,0.0116500350370542,0.0655261472394194,0.12893661579646,0.227560804685441
"22",0,0,0.180556887729841,0.0605345813226311,0,0.147461475233282,0.191097320957642,0.0161163619626306,0.0623521029081912,0.14853315089501,0.193348118990771
"23",0,0,0.185671343846,0.0602509936616513,0,0.142653904302903,0.204397891434614,0.020582688888207,0.0591780585769631,0.168129685993561,0.159135433296101
"24",0,0,0.190785799962158,0.0599674060006714,0,0.137846333372524,0.217698461911586,0.0250490158137833,0.056004014245735,0.187726221092111,0.124922747601431
"25",0,0,0.195900256078316,0.0596838183396916,0,0.133038762442145,0.230999032388559,0.0295153427393597,0.0528299699145068,0.207322756190662,0.0907100619067597
"26",0,0,0.201014712194474,0.0594002306787117,0,0.128231191511766,0.244299602865531,0.0339816696649361,0.0496559255832786,0.226919291289213,0.0564973762120895
"27",0,0,0.206129168310633,0.0591166430177319,0,0.123423620581388,0.257600173342503,0.0384479965905124,0.0464818812520505,0.246515826387763,0.0222846905174195
"28",0,0,0.207385665855832,0.0572645897814101,0,0.114507979360379,0.271319230700465,0.0422396169331804,0.041009266243386,0.266273651125347,0
"29",0,0,0.201434463238075,0.0524822226562647,0,0.097917362278792,0.285820133665327,0.0447707046241541,0.0312423054190243,0.286332808118363,0
"30",0,0,0.195483260620317,0.0476998555311193,0,0.0813267451972051,0.30032103663019,0.0473017923151278,0.0214753445946625,0.306391965111379,0
"31",0,0,0.189532058002559,0.0429174884059739,0,0.0647361281156184,0.314821939595052,0.0498328800061014,0.0117083837703008,0.326451122104394,0
"32",0,0,0.183580855384802,0.0381351212808285,0,0.0481455110340317,0.329322842559914,0.0523639676970751,0.00194142294593907,0.34651027909741,0
"33",0,0,0.17454614138895,0.0319951383206066,0,0.0265872469734812,0.344700919494212,0.0547527354964361,0,0.367417818326314,0
"34",0,0,0.164746444865826,0.0255183470061301,0,0.00379656873487428,0.360296612865654,0.0571061954220724,0,0.388535831105443,0
"35",0,0,0.142416958176445,0.0150622647875404,0,0,0.370874386454523,0.0596944439061179,0,0.411951946675374,0
"36",0,0,0.117582999793332,0.00381079642933949,0,0,0.380449171334872,0.0623296222501808,0,0.435827410192276,0
"37",0,0,0.0849107611186208,0,0,0,0.388249013767846,0.0648833471924164,0,0.461956877921117,0
"38",0,0,0.04822408788303,0,0,0,0.395139805996025,0.0673953551585768,0,0.489240750962368,0
"39",0,0,0.0115374146474397,0,0,0,0.402030598224205,0.0699073631247371,0,0.516524624003619,0
"40",0,0,0,0,0,0,0.374987763768235,0.0671144037808533,0,0.557897832450911,0
"41",0,0,0,0,0,0,0.332377618642882,0.0618877501261587,0,0.60573463123096,0
"42",0,0,0,0,0,0,0.289767473517528,0.0566610964714641,0,0.653571430011008,0
"43",0,0,0,0,0,0,0.247157328392173,0.0514344428167695,0,0.701408228791057,0
"44",0,0,0,0,0,0,0.204547183266819,0.046207789162075,0,0.749245027571106,0
"45",0,0,0,0,0,0,0.161937038141465,0.0409811355073803,0,0.797081826351155,0
"46",0,0,0,0,0,0,0.119326893016111,0.0357544818526858,0,0.844918625131203,0
"47",0,0,0,0,0,0,0.0767167478907564,0.0305278281979911,0,0.892755423911252,0
"48",0,0,0,0,0,0,0.0341066027654027,0.0253011745432966,0,0.940592222691301,0
"49",0,0,0,0,0,0,0,6.94821116198341e-08,0,0.999999930517889,0
